ortho,phon,lemme,cgram,nombre,freqlemfilms2,islem,syll,cv-cv,logfreq
lieutenant,lj2t°n@,lieutenant,NOM,s,80.99,1,lj2-t°-n@,CYV-CV-CV,4.394326924980472
danger,d@Ze,danger,NOM,s,80.61,1,d@-Ze,CV-CV,4.389623951835616
animal,animal,animal,NOM,s,80.5,1,a-ni-mal,V-CV-CVC,4.388258426659771
bord,boR,bord,NOM,s,79.9,1,boR,CVC,4.380777104335902
noir,nwaR,noir,NOM,s,79.75,1,nwaR,CYVC,4.378897995582663
liberté,libeRte,liberté,NOM,s,79.53,1,li-beR-te,CV-CVC-CV,4.376135566355403
règle,Regl,règle,NOM,s,79.51,1,Regl,CVCC,4.375884057616035
banque,b@k,banque,NOM,s,79.35,1,b@k,CVC,4.373869707211069
classe,klas,classe,NOM,s,78.99,1,klas,CCVC,4.369322528158563
dossier,dosje,dossier,NOM,s,78.91,1,do-sje,CV-CYV,4.368309229798647
bonheur,bon2R,bonheur,NOM,s,78.74,1,bo-n2R,CV-CVC,4.366152555517325
but,byt,but,NOM,s,78.43,1,byt,CVC,4.362207782246076
bande,b@d,bande,NOM,s,78.36,1,b@d,CVC,4.361314869236833
radio,Radjo,radio,NOM,s,78.23,1,Ra-djo,CV-CYV,4.3596544839781615
camarade,kamaRad,camarade,NOM,s,77.81,1,ka-ma-Rad,CV-CV-CVC,4.354271242809866
oiseau,wazo,oiseau,NOM,s,77.73,1,wa-zo,YV-CV,4.353242569745868
recherche,R°SeRS,recherche,NOM,s,77.3,1,R°-SeRS,CV-CVCC,4.347695249253601
dernier,deRnje,dernier,NOM,s,77.22,1,deR-nje,CVC-CYV,4.346659785836547
système,sistem,système,NOM,s,76.92,1,sis-tem,CVC-CVC,4.342767220771736
ferme,feRm,ferme,NOM,s,76.86,1,feRm,CVCC,4.341986886202727
ennui,@n8i,ennui,NOM,s,76.64,1,@-n8i,V-CYV,4.339120438463424
tante,t@t,tante,NOM,s,76.62,1,t@t,CVC,4.338859444413912
pitié,pitje,pitié,NOM,s,76.38,1,pi-tje,CV-CYV,4.33572219103977
appartement,apaRt°m@,appartement,NOM,s,76.33,1,a-paR-t°-m@,V-CVC-CV-CV,4.3350673559103985
douleur,dul2R,douleur,NOM,s,75.89,1,du-l2R,CV-CVC,4.329286241111619
sentiment,s@tim@,sentiment,NOM,s,75.72,1,s@-ti-m@,CV-CV-CV,4.327043646995295
grand-père,gR@peR,grand-père,NOM,s,75.64,1,gR@-peR,CCV-CVC,4.325986565841207
société,sosjete,société,NOM,s,75.46,1,so-sje-te,CV-CYV-CV,4.323604039740693
joie,Zwa,joie,NOM,s,75.09,1,Zwa,CYV,4.318688725846157
relation,R°lasj§,relation,NOM,s,74.95,1,R°-la-sj§,CV-CV-CYV,4.316822558770532
témoin,temw1,témoin,NOM,s,74.78,1,te-mw1,CV-CYV,4.314551806804024
