parameter_name,parameter_value,error,metric,ID
b,4.506788157866029,633.1206038591524,levenshtein,2
base,0.4715700836378105,633.1206038591524,levenshtein,2
theta,1.99995515497268,633.1206038591524,levenshtein,2
sim_ELI,0.3069586258462184,633.1206038591524,levenshtein,2
alpha,2.310769437770412,448.7547588812594,levenshtein,3
gamma,0.220235058216287,448.7547588812594,levenshtein,3
delta,0.001000798901413465,448.7547588812594,levenshtein,3
overlap,0.33711971410369473,448.7547588812594,levenshtein,3
sigma,0.5280962096840636,448.7547588812594,levenshtein,3
tau,1.5621611169628922,448.7547588812594,levenshtein,3
b,3.9419121812727025,448.7547588812594,levenshtein,3
base,0.8118496604130447,448.7547588812594,levenshtein,3
theta,1.9999224414807637,448.7547588812594,levenshtein,3
sim_ELI,0.4994675942398543,448.7547588812594,levenshtein,3
alpha,3.3289891494842014,594.7142798792221,levenshtein,4
gamma,0.1819981873914071,594.7142798792221,levenshtein,4
delta,0.0010000288596196214,594.7142798792221,levenshtein,4
overlap,0.38226460416255603,594.7142798792221,levenshtein,4
sigma,0.9075940106536,594.7142798792221,levenshtein,4
tau,9.99099556186864,594.7142798792221,levenshtein,4
b,6.410495600953058,594.7142798792221,levenshtein,4
base,1.5081001162605634e-7,594.7142798792221,levenshtein,4
theta,1.9999992423281454,594.7142798792221,levenshtein,4
sim_ELI,0.13667215001490646,594.7142798792221,levenshtein,4
alpha,5.996672680531889,697.7294930740508,levenshtein,5
gamma,0.43046123498985017,697.7294930740508,levenshtein,5
delta,0.1762185696590327,697.7294930740508,levenshtein,5
overlap,0.3720491468980364,697.7294930740508,levenshtein,5
sigma,0.5080865739736892,697.7294930740508,levenshtein,5
tau,1.2180021803967693,697.7294930740508,levenshtein,5
b,3.3280030317538483,697.7294930740508,levenshtein,5
base,0.1638315259363944,697.7294930740508,levenshtein,5
theta,1.26337951688693,697.7294930740508,levenshtein,5
sim_ELI,0.2462552552978832,697.7294930740508,levenshtein,5
alpha,5.999351028474839,845.7260744839533,levenshtein,6
gamma,0.40011107186850686,845.7260744839533,levenshtein,6
delta,0.21050207443741106,845.7260744839533,levenshtein,6
overlap,0.42371538194871705,845.7260744839533,levenshtein,6
sigma,0.511084959878083,845.7260744839533,levenshtein,6
tau,1.421745215532753,845.7260744839533,levenshtein,6
b,4.992516630090795,845.7260744839533,levenshtein,6
base,0.7079774487625352,845.7260744839533,levenshtein,6
theta,1.9209101478793031,845.7260744839533,levenshtein,6
sim_ELI,0.5099007902806973,845.7260744839533,levenshtein,6
alpha,1.4989824145350343,598.3932504617575,levenshtein,7
gamma,0.347708041580493,598.3932504617575,levenshtein,7
delta,0.0010187105403377818,598.3932504617575,levenshtein,7
overlap,0.4970385542559509,598.3932504617575,levenshtein,7
sigma,0.3453520668072362,598.3932504617575,levenshtein,7
tau,0.8578278722437361,598.3932504617575,levenshtein,7
b,3.1593462986907515,598.3932504617575,levenshtein,7
base,0.5044526078380989,598.3932504617575,levenshtein,7
theta,1.9998904109078661,598.3932504617575,levenshtein,7
sim_ELI,0.3999807776957613,598.3932504617575,levenshtein,7
alpha,5.9996549681156734,734.7641348477648,levenshtein,8
gamma,0.48216329775162364,734.7641348477648,levenshtein,8
delta,0.23629882216486947,734.7641348477648,levenshtein,8
overlap,0.4462677387207329,734.7641348477648,levenshtein,8
sigma,0.3777474762737934,734.7641348477648,levenshtein,8
tau,0.8068047055628026,734.7641348477648,levenshtein,8
b,5.414879622573945,734.7641348477648,levenshtein,8
base,0.5408678617030611,734.7641348477648,levenshtein,8
theta,1.4032752021083021,734.7641348477648,levenshtein,8
sim_ELI,0.4049536744852193,734.7641348477648,levenshtein,8
alpha,4.67304076971422,927.6476484768307,levenshtein,9
